INFO 2026-06-24 15:41:54,938 django.server log.py:249 - "GET /admin/discussion_app/subject/0429166d-b107-4b3c-8f86-c8cd9a0a4cb6/change/ HTTP/1.1" 200 14788
INFO 2026-06-24 15:41:55,060 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:42:00,059 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 14698
INFO 2026-06-24 15:42:01,132 django.server log.py:249 - "GET /admin/discussion_app/subject/add/ HTTP/1.1" 200 14328
INFO 2026-06-24 15:42:01,253 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:42:08,030 discussion_app.admin admin.py:18 - Admin: Mri createdSubject: Subject object (ac84950d-d154-4577-812c-1834018daffc)
INFO 2026-06-24 15:42:08,036 discussion_app.signals signals.py:78 - Subject created: Science (UUID: ac84950d-d154-4577-812c-1834018daffc)
INFO 2026-06-24 15:42:08,036 discussion_app.admin admin.py:31 - Admin addition: Mri - Subject object (ac84950d-d154-4577-812c-1834018daffc)
INFO 2026-06-24 15:42:08,057 django.server log.py:249 - "POST /admin/discussion_app/subject/add/ HTTP/1.1" 302 0
INFO 2026-06-24 15:42:08,186 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 15438
INFO 2026-06-24 15:42:08,296 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
ERROR 2026-06-24 15:43:11,223 discussion_app.views views.py:162 - Exception in StudentViewSet: Authentication credentials were not provided.
WARNING 2026-06-24 15:43:11,227 django.request log.py:249 - Unauthorized: /api/students/
WARNING 2026-06-24 15:43:11,229 django.server log.py:249 - "POST /api/students/ HTTP/1.1" 401 58
INFO 2026-06-24 15:44:11,884 discussion_app.views views.py:196 - Login attempt for username: Alice
INFO 2026-06-24 15:44:11,886 discussion_app.serializers serializers.py:92 - Validating login for: Alice
INFO 2026-06-24 15:44:13,971 discussion_app.serializers serializers.py:102 - Login successful for: Alice
INFO 2026-06-24 15:44:13,972 discussion_app.views views.py:199 - User Alice logged in successfully
INFO 2026-06-24 15:44:13,978 django.server log.py:249 - "POST /api/login/ HTTP/1.1" 200 504
INFO 2026-06-24 15:44:46,864 discussion_app.views views.py:196 - Login attempt for username: None
ERROR 2026-06-24 15:44:46,865 discussion_app.views views.py:206 - Exception in LoginView: {'username': [ErrorDetail(string='This field is required.', code='required')], 'password': [ErrorDetail(string='This field is required.', code='required')]}
WARNING 2026-06-24 15:44:46,866 django.request log.py:249 - Bad Request: /api/login/
WARNING 2026-06-24 15:44:46,868 django.server log.py:249 - "POST /api/login/ HTTP/1.1" 400 79
ERROR 2026-06-24 15:44:56,953 discussion_app.views views.py:162 - Exception in StudentViewSet: {'subject': [ErrorDetail(string='Expected a list of items but got type "str".', code='not_a_list')]}
WARNING 2026-06-24 15:44:56,954 django.request log.py:249 - Bad Request: /api/students/
WARNING 2026-06-24 15:44:56,956 django.server log.py:249 - "POST /api/students/ HTTP/1.1" 400 62
INFO 2026-06-24 15:45:20,483 discussion_app.views views.py:146 - User Alice creating a student profile
INFO 2026-06-24 15:45:20,500 discussion_app.signals signals.py:63 - Student created: Alice (UUID: c3339c1d-84a5-4421-a51a-e614b610051a) by Alice
INFO 2026-06-24 15:45:20,516 discussion_app.views views.py:149 - Student profile created for Alice
INFO 2026-06-24 15:45:20,527 django.server log.py:249 - "POST /api/students/ HTTP/1.1" 201 309
INFO 2026-06-24 15:51:17,798 discussion_app.views views.py:172 - Registration attempt for username: A
INFO 2026-06-24 15:51:17,915 discussion_app.serializers serializers.py:75 - Creating user: A
INFO 2026-06-24 15:51:19,980 discussion_app.signals signals.py:32 - User created: A (ID: 6)
INFO 2026-06-24 15:51:19,987 discussion_app.serializers serializers.py:82 - User A created with token
INFO 2026-06-24 15:51:19,987 discussion_app.views views.py:176 - User A registered successfully
INFO 2026-06-24 15:51:19,988 django.server log.py:249 - "POST /api/register/ HTTP/1.1" 201 63
INFO 2026-06-24 15:51:28,744 discussion_app.views views.py:172 - Registration attempt for username: A
WARNING 2026-06-24 15:51:28,748 discussion_app.views views.py:180 - Registration failed for A: {'email': [ErrorDetail(string='This field is required.', code='required')]}
WARNING 2026-06-24 15:51:28,752 django.request log.py:249 - Bad Request: /api/register/
WARNING 2026-06-24 15:51:28,753 django.server log.py:249 - "POST /api/register/ HTTP/1.1" 400 37
INFO 2026-06-24 15:51:37,512 discussion_app.views views.py:196 - Login attempt for username: A
INFO 2026-06-24 15:51:37,513 discussion_app.serializers serializers.py:92 - Validating login for: A
INFO 2026-06-24 15:51:39,645 discussion_app.serializers serializers.py:102 - Login successful for: A
INFO 2026-06-24 15:51:39,646 discussion_app.views views.py:199 - User A logged in successfully
INFO 2026-06-24 15:51:39,648 django.server log.py:249 - "POST /api/login/ HTTP/1.1" 200 500
INFO 2026-06-24 15:52:25,337 discussion_app.views views.py:119 - User Alice creating a teacher profile
INFO 2026-06-24 15:52:25,345 discussion_app.signals signals.py:47 - Teacher created: A (UUID: ac455028-e443-4eb8-bf90-66983fd52dd9) by Alice
INFO 2026-06-24 15:52:25,354 discussion_app.views views.py:122 - Teacher profile created for Alice
INFO 2026-06-24 15:52:25,363 django.server log.py:249 - "POST /api/teachers/ HTTP/1.1" 201 298
INFO 2026-06-24 15:54:04,068 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 15148
INFO 2026-06-24 15:54:04,101 django.server log.py:249 - "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,117 django.server log.py:249 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,118 django.server log.py:249 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,125 django.server log.py:249 - "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,130 django.server log.py:249 - "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,130 django.server log.py:249 - "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,131 django.server log.py:249 - "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,140 django.server log.py:249 - "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,140 django.server log.py:249 - "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,142 django.server log.py:249 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,142 django.server log.py:249 - "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,145 django.server log.py:249 - "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,146 django.server log.py:249 - "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
